Transformer ID,Failure Description,Maintenance Action,Hydrogen (ppm),Methane (ppm),CO (ppm),CO2 (ppm),Ethylene (ppm),Ethane (ppm),Acetylene (ppm),DBDS (ppm),Power Factor,Interfacial Voltage (kV),Dielectric Rigidity (kV),Water Content (ppm),Health Index
TX-1,"Sudden spike in nitrogen and methane, potential oil degradation.",Lowered transformer load and conducted infrared thermography.,8711,732,392,2208,844,222,545,95,1.1,41,43,17,86.0
TX-2,DGA analysis suggests insulation failure. High CO2 and Acetylene.,"Conducted resistance and capacitance tests, no major issue found.",2660,4971,184,3184,719,235,2243,79,2.12,56,41,39,97.1
TX-3,"CO levels rising gradually, potential core insulation wear.","Conducted resistance and capacitance tests, no major issue found.",4744,2568,361,2453,258,163,1724,82,4.59,52,60,3,76.6
TX-4,DGA analysis suggests insulation failure. High CO2 and Acetylene.,Lowered transformer load and conducted infrared thermography.,8408,7714,331,4279,728,188,588,100,3.9,38,44,45,78.1
TX-5,High levels of Hydrogen and Methane indicate partial discharge.,Lowered transformer load and conducted infrared thermography.,12465,8483,170,2321,831,316,2255,8,3.12,60,48,5,85.2
TX-6,DGA analysis suggests insulation failure. High CO2 and Acetylene.,Lowered transformer load and conducted infrared thermography.,6434,1336,388,1296,440,331,1550,20,1.46,56,43,40,56.2
TX-7,"Power factor deterioration, possible transformer aging.","Transformer re-energized with minor repairs, long-term monitoring advised.",9742,8129,172,1545,215,212,2457,95,4.55,21,41,6,91.4
TX-8,"Power factor deterioration, possible transformer aging.","Conducted resistance and capacitance tests, no major issue found.",7617,9704,189,1380,604,115,622,28,3.49,48,54,43,68.4
TX-9,"Sudden spike in nitrogen and methane, potential oil degradation.",Routine inspection suggested early intervention.,7048,1774,331,746,400,242,2692,72,1.23,38,43,49,97.8
TX-10,"CO levels rising gradually, potential core insulation wear.","Conducted resistance and capacitance tests, no major issue found.",10683,1148,420,4885,595,395,532,27,4.26,44,50,5,54.1
TX-11,DGA analysis suggests insulation failure. High CO2 and Acetylene.,Routine inspection suggested early intervention.,8411,2741,182,1695,347,455,1198,44,1.94,43,58,34,88.7
TX-12,Temperature anomalies suggest internal short-circuit.,"Transformer re-energized with minor repairs, long-term monitoring advised.",2988,9017,54,1173,584,161,2712,85,4.6,47,49,27,96.7
TX-13,Temperature anomalies suggest internal short-circuit.,"Cooling system inspected and enhanced, reducing overheating risk.",11624,2445,375,1683,783,178,566,6,1.17,23,59,42,97.2
TX-14,"Sudden spike in nitrogen and methane, potential oil degradation.",Lowered transformer load and conducted infrared thermography.,14435,4781,73,4159,756,105,927,93,2.38,41,47,46,51.6
TX-15,"Power factor deterioration, possible transformer aging.","Insulation aging detected, transformer scheduled for replacement.",514,4641,191,749,727,315,343,0,2.52,41,52,46,75.5
TX-16,High levels of Hydrogen and Methane indicate partial discharge.,Performed oil regeneration and gas extraction.,9000,824,35,1928,15,120,2576,17,3.72,39,49,28,72.3
TX-17,High levels of Hydrogen and Methane indicate partial discharge.,"Cooling system inspected and enhanced, reducing overheating risk.",4913,3447,153,4316,545,174,2342,92,2.86,54,57,35,85.5
TX-18,"Fluctuating interfacial voltage, potential arcing observed.","Cooling system inspected and enhanced, reducing overheating risk.",14863,9459,329,514,735,99,368,23,1.8,56,57,36,52.0
TX-19,"CO levels rising gradually, potential core insulation wear.",Performed oil regeneration and gas extraction.,12777,8423,284,1573,387,348,1681,14,2.65,29,52,10,74.5
TX-20,"Repeated gas level fluctuations, risk of multiple failures.",Performed oil regeneration and gas extraction.,628,4340,375,741,922,245,2409,69,1.86,34,55,10,82.6
TX-21,"Repeated gas level fluctuations, risk of multiple failures.",Performed oil regeneration and gas extraction.,11615,9038,423,3578,561,459,1446,97,2.99,32,50,42,88.9
TX-22,"CO levels rising gradually, potential core insulation wear.","Transformer re-energized with minor repairs, long-term monitoring advised.",3893,1818,363,4497,34,426,2124,70,3.54,56,43,3,77.3
TX-23,"Repeated gas level fluctuations, risk of multiple failures.","Cooling system inspected and enhanced, reducing overheating risk.",8745,6620,70,1194,122,140,2149,93,4.68,32,58,0,58.1
TX-24,"Power factor deterioration, possible transformer aging.","DGA re-analysis confirmed issue resolution, continued monitoring.",988,580,15,3667,411,69,282,90,4.67,22,57,1,53.6
TX-25,"CO levels rising gradually, potential core insulation wear.","Transformer re-energized with minor repairs, long-term monitoring advised.",11094,5494,211,3912,477,269,2154,86,3.63,42,54,36,65.6
TX-26,"CO levels rising gradually, potential core insulation wear.",Replaced insulation and monitored gas levels.,7578,9762,378,3398,416,162,2018,0,2.22,56,42,2,86.8
TX-27,"Power factor deterioration, possible transformer aging.","Cooling system inspected and enhanced, reducing overheating risk.",8165,3470,40,4790,574,58,1823,1,2.51,22,46,8,70.7
TX-28,Severe overheating detected. Ethylene and CO levels rising.,Lowered transformer load and conducted infrared thermography.,4842,5696,83,4050,490,362,116,95,1.83,53,57,35,92.7
TX-29,"Fluctuating interfacial voltage, potential arcing observed.",Replaced insulation and monitored gas levels.,14297,404,273,4035,464,149,1349,39,1.37,49,58,6,54.4
TX-30,"Repeated gas level fluctuations, risk of multiple failures.","Conducted resistance and capacitance tests, no major issue found.",14050,2503,390,4999,511,215,2847,33,1.12,28,42,15,65.1
TX-31,"CO levels rising gradually, potential core insulation wear.","Cooling system inspected and enhanced, reducing overheating risk.",608,278,10,4331,713,453,2074,41,2.84,46,58,0,68.4
TX-32,"Repeated gas level fluctuations, risk of multiple failures.","Cooling system inspected and enhanced, reducing overheating risk.",12042,6587,258,3426,999,70,27,45,2.16,37,54,43,60.5
TX-33,DGA analysis suggests insulation failure. High CO2 and Acetylene.,"Transformer re-energized with minor repairs, long-term monitoring advised.",6130,6761,439,1515,79,233,2850,73,3.53,26,59,12,53.5
TX-34,DGA analysis suggests insulation failure. High CO2 and Acetylene.,Performed oil regeneration and gas extraction.,1462,5661,139,767,48,137,1289,70,0.5,36,56,45,71.3
TX-35,"CO levels rising gradually, potential core insulation wear.",Routine inspection suggested early intervention.,5064,2599,294,2398,101,11,961,43,0.96,51,53,20,98.7
TX-36,"Power factor deterioration, possible transformer aging.",Performed oil regeneration and gas extraction.,12885,5696,157,2360,807,447,911,32,4.59,22,55,40,80.8
TX-37,"Sudden spike in nitrogen and methane, potential oil degradation.","DGA re-analysis confirmed issue resolution, continued monitoring.",2082,1087,28,1949,216,278,1079,15,3.04,30,60,37,81.3
TX-38,High levels of Hydrogen and Methane indicate partial discharge.,"DGA re-analysis confirmed issue resolution, continued monitoring.",12216,3386,259,3775,779,184,1006,29,2.14,35,52,15,68.7
TX-39,High levels of Hydrogen and Methane indicate partial discharge.,Routine inspection suggested early intervention.,14427,225,83,1745,341,443,496,54,0.93,36,46,45,82.0
TX-40,"Fluctuating interfacial voltage, potential arcing observed.",Replaced insulation and monitored gas levels.,14239,9705,188,1562,438,204,1493,61,2.67,39,59,4,84.9
